ticker,alpha_daily,alpha_annual,alpha_tstat,full_kelly,effective_f,pos_pct,action,regime,note
0,-0.000147,-3.7,-0.512,-0.9818,0.0,0.0,SKIP,Bear,t=-0.51 < 1.5 (insufficient edge)
1,0.000142,3.57,0.477,0.8808,0.0,0.0,SKIP,Bear,t=0.48 < 1.5 (insufficient edge)
2,0.000171,4.32,0.678,1.4758,0.0,0.0,SKIP,Bear,t=0.68 < 1.5 (insufficient edge)
3,-0.000181,-4.56,-0.849,-2.1883,0.0,0.0,SKIP,Bear,t=-0.85 < 1.5 (insufficient edge)
4,-3.9e-05,-0.99,-0.146,-0.301,0.0,0.0,SKIP,Bear,t=-0.15 < 1.5 (insufficient edge)
5,8.6e-05,2.17,0.357,0.8149,0.0,0.0,SKIP,Bear,t=0.36 < 1.5 (insufficient edge)
6,0.000152,3.84,0.559,1.1274,0.0,0.0,SKIP,Bear,t=0.56 < 1.5 (insufficient edge)
7,-0.000317,-7.98,-1.134,-2.2303,0.0,0.0,SKIP,Bear,t=-1.13 < 1.5 (insufficient edge)
8,2.4e-05,0.6,0.085,0.1685,0.0,0.0,SKIP,Bear,t=0.09 < 1.5 (insufficient edge)
9,8.9e-05,2.23,0.283,0.4985,0.0,0.0,SKIP,Bear,t=0.28 < 1.5 (insufficient edge)
10,0.000159,4.02,0.687,1.6259,0.0,0.0,SKIP,Bear,t=0.69 < 1.5 (insufficient edge)
11,0.00028,7.05,0.905,1.6087,0.0,0.0,SKIP,Bear,t=0.91 < 1.5 (insufficient edge)
12,-8.1e-05,-2.05,-0.365,-0.8967,0.0,0.0,SKIP,Bear,t=-0.36 < 1.5 (insufficient edge)
13,-9.3e-05,-2.36,-0.44,-1.1383,0.0,0.0,SKIP,Bear,t=-0.44 < 1.5 (insufficient edge)
