factor,quintile,fwd_21d_sharpe,n_obs
MKT,Q1(lowest),-0.054346848642392614,365
MKT,Q2,-0.05772076146398631,365
MKT,Q3,-1.2193234260016177,364
MKT,Q4,2.1873281424379303,365
MKT,Q5(highest),1.180560585497357,365
SMB,Q1(lowest),-0.4816641629222787,365
SMB,Q2,-0.05851213859996291,365
SMB,Q3,-0.7420017194411742,364
SMB,Q4,1.8361142520159999,365
SMB,Q5(highest),-0.07417575737325197,365
HML,Q1(lowest),0.2556429227761648,365
HML,Q2,0.2928361982184387,365
HML,Q3,0.19298739750660832,364
HML,Q4,1.0399943689615,365
HML,Q5(highest),0.6097131593134967,365
RMW,Q1(lowest),-0.17778654212432052,365
RMW,Q2,-0.23515639893264595,365
RMW,Q3,-0.24546885844842814,364
RMW,Q4,-0.7896475352704645,365
RMW,Q5(highest),-0.48562292957118236,365
CMA,Q1(lowest),0.1746044027669221,365
CMA,Q2,0.09054927400358571,365
CMA,Q3,0.9209441131124299,364
CMA,Q4,1.7224566515468769,365
CMA,Q5(highest),-0.361325601232064,365
