regime,factor,f_stat,p_value,best_lag,n_obs,sig,p_fdr,sig_fdr,fdr_reject
Bull,MKT,0.969,0.3799,2,621,,0.5556,,False
Bull,SMB,2.121,0.1208,2,621,,0.4238,,False
Bull,HML,1.349,0.2503,4,621,,0.4238,,False
Bull,RMW,0.308,0.7354,2,621,,0.7879,,False
Bull,CMA,1.597,0.2034,2,621,,0.4238,,False
Sideways,MKT,1.371,0.2543,2,925,,0.4238,,False
Sideways,SMB,1.542,0.202,3,925,,0.4238,,False
Sideways,HML,0.222,0.9531,5,925,,0.9531,,False
Sideways,RMW,0.812,0.4445,2,925,,0.5556,,False
Sideways,CMA,0.625,0.4293,1,925,,0.5556,,False
Bear,MKT,2.306,0.1316,1,122,,0.4238,,False
Bear,SMB,5.68,0.0188,1,122,*,0.204,,False
Bear,HML,0.613,0.6543,4,122,,0.755,,False
Bear,RMW,1.386,0.2354,5,122,,0.4238,,False
Bear,CMA,2.85,0.0272,4,122,*,0.204,,False
