regime,factor,n,ann_ret,vol,sharpe,t,p,sig
Full,MKT,1669,12.048591784408995,16.5897625613117,0.7262666804229626,1.8690633347587267,0.061789130790170725,†
Full,SMB,1669,-0.3944906593116839,12.400807574591042,-0.03181169104824962,-0.08186808917122376,0.9347614326479243,
Full,HML,1669,10.280730739579425,13.158897047472273,0.781276022032126,2.010631089747882,0.044525115735518074,*
Full,MOM,1669,14.715567872864716,13.627755626403962,1.07982328684799,2.778949066327595,0.00551466105069355,**
Bull,MKT,600,23.304451831192523,15.978996381452493,1.4584427754325673,2.2504260597725607,0.024783891430569725,*
Bull,SMB,600,2.1711852737500217,11.830930866799827,0.18351770441350826,0.28317396568357306,0.7771413198445062,
Bull,HML,600,13.222869059415546,13.94794014429471,0.948015902177803,1.4628202952336984,0.14404104374450907,
Bull,MOM,600,10.216757730342003,12.818713217821129,0.7970189797317742,1.2298269855598138,0.219244708603085,
Sideways,MKT,946,0.4705588090837928,12.063078644116661,0.03900818546957672,0.07557898351564198,0.9397700538532976,
Sideways,SMB,946,0.8204964164562747,11.14246069341466,0.07363691369727683,0.14267269854963668,0.8865790927031656,
Sideways,HML,946,6.0768048999082955,11.550106111815316,0.5261254607602226,1.019376498734328,0.3082851547999649,
Sideways,MOM,946,21.20844004923654,12.28721823367983,1.7260570819116103,3.3442632147706073,0.0008574521375205736,***
Bear,MKT,123,46.189267935527106,37.02430378456107,1.2475391354904497,0.8715784099756043,0.385150365642268,
Bear,SMB,123,-22.254517761047545,21.248357793438554,-1.047352363763363,-0.7317202979241132,0.4657425260164808,
Bear,HML,123,28.261469377199123,19.413585001361184,1.4557573665666372,1.0170476057759996,0.31114348272500947,
Bear,MOM,123,-13.276066219282622,23.623680452948484,-0.5619812816942176,-0.39262155230307644,0.6952841516975679,
