window_start,window_end,lag,F,p,sig_10,sig_05
2019-06-07,2021-06-14,2,2.1192430433759677,0.12121553924433483,0,0
2019-07-08,2021-07-13,2,2.029445188146016,0.13250478702631194,0,0
2019-08-06,2021-08-12,2,1.8925632306999427,0.15177822041313735,0,0
2019-09-09,2021-09-14,3,1.6426206848955645,0.17864071424524067,0,0
2019-10-11,2021-10-13,3,1.5708373462942617,0.1955611465736061,0,0
2019-11-13,2021-11-15,2,1.7425438009282397,0.17615102969575872,0,0
2019-12-12,2021-12-15,1,1.4205675667861348,0.23387995932576977,0,0
2020-01-13,2022-01-13,1,1.7087490048569285,0.19175341835784837,0,0
2020-02-11,2022-02-14,1,2.3184162333842337,0.1284874099346963,0,0
2020-03-13,2022-03-16,3,0.45790358054101166,0.711831704175395,0,0
2020-04-17,2022-04-19,1,4.933546306195003,0.026791002082465588,1,1
2020-05-19,2022-05-19,3,0.711249211539652,0.5456095255489958,0,0
2020-06-18,2022-06-17,3,0.7610071564636733,0.5163553586391726,0,0
2020-07-17,2022-07-18,3,0.610869452138873,0.6082006143473168,0,0
2020-08-17,2022-08-18,1,3.3420682336545844,0.0681301567243996,1,0
2020-09-15,2022-09-19,1,3.258347026464641,0.07166701769380308,1,0
2020-10-15,2022-10-19,1,3.1567158708466314,0.07622799377458046,1,0
2020-11-13,2022-11-21,2,0.3401340282319848,0.7118418050190651,0,0
2020-12-15,2022-12-20,2,0.2429297975567658,0.7844204057768798,0,0
2021-01-14,2023-01-18,2,0.531936984227286,0.5878027424444571,0,0
2021-02-15,2023-02-17,1,3.322376185888646,0.06894486339583673,1,0
2021-03-17,2023-03-21,1,4.8230644098239805,0.028543556023497327,1,1
2021-04-20,2023-04-25,1,2.61600734653813,0.10642607280881841,0,0
2021-05-21,2023-05-25,1,2.7238656103346073,0.09949137058059906,1,0
2021-06-21,2023-06-23,1,2.294015805649226,0.1305104758727609,0,0
2021-07-20,2023-07-25,2,1.0536304624834432,0.34945340012993836,0,0
2021-08-20,2023-08-24,1,1.8423090664322228,0.17529782485843384,0,0
2021-09-21,2023-09-25,1,1.984629080752084,0.15953015166350726,0,0
2021-10-21,2023-10-26,1,3.7079072120459253,0.05472659764392569,1,0
2021-11-23,2023-11-28,1,5.188887757371706,0.02315635671234327,1,1
2021-12-22,2023-12-28,2,4.793160685180064,0.008676345039438954,1,1
2022-01-20,2024-01-30,3,4.995305755221714,0.002018112736664331,1,1
2022-02-21,2024-02-28,2,4.269610676328239,0.01450799559435803,1,1
2022-03-24,2024-04-02,1,8.621856722101311,0.0034758255432564625,1,1
2022-04-26,2024-05-06,1,9.493836451985663,0.002176184198773918,1,1
2022-05-26,2024-06-05,1,0.49787470053125954,0.4807667008201642,0,0
2022-06-24,2024-07-05,1,0.043626954192833065,0.8346349559976818,0,0
2022-07-25,2024-08-06,1,0.01333186883287746,0.9081243109059944,0,0
2022-08-25,2024-09-05,2,1.5128898245699,0.22129335374593667,0,0
2022-09-26,2024-10-07,1,0.2667220273380916,0.6057693611915205,0,0
2022-10-27,2024-11-05,1,1.3907927394750559,0.23883663597976165,0,0
2022-11-28,2024-12-06,1,1.3210194418201004,0.2509630878254246,0,0
2022-12-27,2025-01-07,1,0.7895423867593554,0.37466923913906697,0,0
2023-01-25,2025-02-04,2,0.526706908222131,0.5908784269262719,0,0
2023-02-24,2025-03-06,1,0.5345002416222162,0.46506621012280247,0,0
2023-03-28,2025-04-08,2,1.1753798314032873,0.3095652328967029,0,0
2023-05-03,2025-05-13,1,0.031697393795783575,0.858766120707925,0,0
2023-06-01,2025-06-11,1,0.1993127156150545,0.6554710196706127,0,0
2023-07-03,2025-07-10,1,0.850951141879862,0.35673189829439134,0,0
2023-08-01,2025-08-08,1,1.6113553112562684,0.20489667747954837,0,0
2023-08-31,2025-09-10,1,1.3643500159701418,0.24334614862626122,0,0
2023-10-03,2025-10-10,1,1.4186829284107412,0.23418997552776416,0,0
2023-11-02,2025-11-12,1,1.5010336108128655,0.22109386930810404,0,0
2023-12-05,2025-12-11,1,1.1246956895163465,0.2894257250211363,0,0
2024-01-04,2026-01-12,1,1.3828894735440687,0.24017369551123083,0,0
2024-02-06,2026-02-12,1,0.897528477828057,0.3439066046109857,0,0
2024-03-06,2026-03-16,1,2.6115543327104405,0.10672357109854937,0,0
2024-04-09,2026-04-20,1,3.598837931704616,0.05840056714055134,1,0
2024-05-13,2026-05-20,1,2.2145373164723257,0.13735151853745267,0,0
